belongs_category,first_level,second_level,third_level,title,url
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Grand Town Auto 6 : Mafia City,https://www.amazon.com/Grand-Town-Auto-Mafia-City/dp/B0BW7FL9XZ/ref=zg_bs_mobile-apps_sccl_18/146-0937381-3398359?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Toca Kitchen 2,https://www.amazon.com/Toca-Boca-Kitchen-2/dp/B00ZU33BBC/ref=zg_bs_mobile-apps_sccl_19/146-0937381-3398359?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Merge Chain Quest: Funny Labyrinth Battles,https://www.amazon.com/Merge-Chain-Quest-Labyrinth-Battles/dp/B0BLZM98SQ/ref=zg_bs_mobile-apps_sccl_20/146-0937381-3398359?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Survive or Die: Epic Challenge,https://www.amazon.com/Survive-or-Die-Epic-Challenge/dp/B0BLZR5TT1/ref=zg_bs_mobile-apps_sccl_21/146-0937381-3398359?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,City Surfer,https://www.amazon.com/Apps-4-All-City-Surfer/dp/B0BXW572L7/ref=zg_bs_mobile-apps_sccl_22/146-0937381-3398359?psc=1
"{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Apps & Games', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Merge Animal Mutant Racing 3D,https://www.amazon.com/Merge-Animal-Mutant-Racing-3D/dp/B09Q1CHLY3/ref=zg_bs_mobile-apps_sccl_23/146-0937381-3398359?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Ribbli Double Faced Red Satin Ribbon,1” x Continuous 25 Yards,Use for Bows Bouquet,Christmas Gift Wrapping,Floral Arrangement",https://www.amazon.com/Ribbli-Continuous-Christmas-Wrapping-Arrangement/dp/B091GNB79S/ref=zg_bs_arts-crafts_sccl_18/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Safety Pins Assorted, 340 PCS Nickel Plated Steel Large Safety Pins Heavy Duty, 5 Different Sizes Safety Pin, Safety Pins Bulk, Small Safety Pins for Clothes, Sewing, Jackets, Crafts (Silver)",https://www.amazon.com/Assorted-Different-Pinning-Jackets-Clothes/dp/B098HXCJNQ/ref=zg_bs_arts-crafts_sccl_19/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Duck Brand 1304959 Color Duct Tape, Single Roll, Blue",https://www.amazon.com/Duck-Brand-1304959-Inches-Single/dp/B002TOL400/ref=zg_bs_arts-crafts_sccl_20/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"ARTDOT Diamond Painting Storage Containers, 60 Slots Diamond Painting Accessories Shockproof Jars for Jewelry Beads Rings Charms Glitter Rhinestones",https://www.amazon.com/ARTDOT-Containers-Accessories-Shockproof-Rhinestones/dp/B088K3FQ7W/ref=zg_bs_arts-crafts_sccl_21/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Cricut Smart Permanent Vinyl (13in x 3ft, White) for Cricut Explore 3 and Maker 3, Create DIY Projects, Decals, Stickers & More, All-Weather & Fade-Proof, Ideal for Outdoor Use",https://www.amazon.com/Cricut-Smart-Vinyl-Permanent-Compatible/dp/B09436VTBS/ref=zg_bs_arts-crafts_sccl_22/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"Brown Kraft Paper Roll - 18"" x 1,200"" (100') Made in The USA - Ideal for Packing, Moving, Gift Wrapping, Postal, Shipping, Parcel, Wall Art, Crafts, Bulletin Boards, Floor Covering, Table Runner",https://www.amazon.com/Brown-Kraft-Paper-Roll-Wrapping/dp/B082KHMC2Z/ref=zg_bs_arts-crafts_sccl_23/145-5864390-7125631?psc=1
"{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Arts, Crafts & Sewing', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"BOSOBO Paint Brushes Set, 2 Pack 20 Pcs Round Pointed Tip Paintbrushes Nylon Hair Artist Acrylic Paint Brushes for Acrylic Oil Watercolor, Face Nail Art, Miniature Detailing and Rock Painting, Blue",https://www.amazon.com/BOSOBO-Paintbrushes-Watercolor-Miniature-Detailing/dp/B07GH7WGC3/ref=zg_bs_arts-crafts_sccl_24/145-5864390-7125631?psc=1
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,A Court of Wings and Ruin,https://www.amazon.com/A-Court-of-Wings-and-Ruin-audiobook/dp/B071RR4DPV/ref=zg_bs_audible_sccl_12/142-2420717-6333747?isALC=true
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Unfu*k Yourself: Get Out of Your Head and into Your Life,https://www.amazon.com/Unfu-k-Yourself-Gary-John-Bishop-audiobook/dp/B0731QJ482/ref=zg_bs_audible_sccl_13/142-2420717-6333747?isALC=true
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",https://www.amazon.com/How-Do-Work-Recognize-Patterns/dp/B092394734/ref=zg_bs_audible_sccl_14/142-2420717-6333747?isALC=true
"{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}","{'name': 'Audible Books & Originals', 'tree_level': <TreeLevel.FirstLevel: 1>}",,,Never Split the Difference: Negotiating as if Your Life Depended on It,https://www.amazon.com/Never-Split-Difference-audiobook/dp/B01COR1GM2/ref=zg_bs_audible_sccl_15/142-2420717-6333747?isALC=true
